,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
H-G,1.1,0.8,2.1,0.002,-8.0,-5.5,-14.0,-1.19,1.0,-12.0,0.1,0.003,-1.0,-1.4,-4.0,-0.4,-4.0,-1.24,-2.0,98.0,-3.0,0.8,-8.0,2.0,-3.0,0.3,-7.7,0.06,-3.2,5.0,-13.0,9.0,6.0,-4.0,7.0,-2.2,0.1,-2.1,0.1,0.71,3.0,-2.0,1.4,12.2,0.0,-1.6,0.1,0.0,-4.0,-1.0,75.0,0.1,-1.0,3.8,0.09,-3.0,2.0,2.78,-2.09,0.006999999999999999,0.18,0.012,-5.0,0.0,-3.0,-2.0,-2.0,-5.0,0.1,-1.0,-0.19,-18.0,-3.0,-1.7,-1.0,-1.2,-2.0,-2.0,0.7,-3.0,0.1,0.8,0.7,0.01,0.0,-4.0,-32.0,1.0,-0.2,-7.5,0.0
H-I,0.86,0.6,0.0,0.006,-8.0,-4.0,-10.0,-3.96,1.0,-12.0,0.1,0.003,-9.0,-2.2,-4.0,-1.76,-5.0,-4.44,-3.2,94.0,-1.0,0.5,3.0,2.0,-15.0,0.9,-8.2,0.01,-5.1,-3.0,-10.0,8.0,-4.0,-13.0,8.0,-1.8,0.1,-3.7,0.1,1.24,-3.0,-2.0,0.81,12.4,-1.0,-2.3,0.1,0.0,-8.0,-4.0,62.0,0.5,-2.0,3.0,0.0,-5.0,2.0,2.45,-6.88,0.003,-0.14,0.005,1.0,-4.0,-5.0,-3.0,-3.0,-15.0,0.7,-1.0,-0.69,-28.0,-4.0,-1.8,0.5,-0.8,-4.0,-3.0,0.6,-4.0,0.6,0.1,0.6,0.008,0.0,-6.0,-17.0,2.0,0.1,14.1,0.6
H-K,1.1,1.3,0.3,0.022000000000000002,-5.0,-5.5,6.0,-0.08,3.0,-6.0,1.9,0.028999999999999998,-2.0,0.6,-2.0,0.31,-5.0,-0.17,0.8,32.0,3.0,1.5,-4.0,2.0,14.0,0.3,-7.6,-0.23,0.1,2.0,-8.0,5.0,3.0,-19.0,11.0,0.6,2.2,0.9,0.9,0.82,1.0,0.0,1.15,15.5,0.0,0.6,0.5,0.0,0.0,1.0,64.0,2.5,0.0,5.8,-0.26,0.0,4.0,0.79,-2.36,0.022000000000000002,-0.09,0.044000000000000004,2.0,-6.0,-1.0,-1.0,1.0,-1.0,0.1,0.0,0.14,-7.0,4.0,1.1,-0.2,-1.0,1.0,-1.0,2.9,0.0,2.3,1.8,2.6,0.021,0.0,-1.0,-9.0,1.0,-0.4,-10.5,0.6
H-L,1.08,1.1,2.3,0.004,-5.0,-4.0,-18.0,-3.16,3.0,-10.0,0.1,0.003,-14.0,-1.9,-3.0,-0.93,-4.0,-2.49,-2.1,99.0,2.0,1.5,-9.0,1.0,-15.0,0.8,-8.1,-0.09,-4.2,-4.0,-6.0,8.0,-5.0,-9.0,10.0,-0.1,0.1,-2.2,0.1,1.07,-3.0,-2.0,0.62,9.07,-1.0,-1.9,1.6,0.0,-6.0,0.0,64.0,0.1,-2.0,3.3,-0.13,-3.0,2.0,2.59,-6.34,0.005,-0.12,0.036000000000000004,3.0,-12.0,-4.0,-2.0,-2.0,-13.0,1.1,-1.0,-0.5,-27.0,-4.0,-2.4,1.4,-0.9,-4.0,-3.0,0.4,-3.0,0.1,1.7,0.7,0.011000000000000001,0.0,-5.0,-10.0,2.0,0.3,11.8,1.0
H-M,1.08,0.5,1.0,0.0,-9.0,-4.0,-5.0,-1.9,1.0,-4.0,0.3,0.006,-7.0,-1.3,-4.0,-1.04,-4.0,-3.66,-2.4,87.0,3.0,0.8,-8.0,3.0,3.0,0.2,-9.7,-0.08,-2.3,-2.0,-3.0,9.0,-1.0,-11.0,10.0,-1.8,0.6,-3.4,1.7,0.96,-1.0,-2.0,0.88,11.4,-1.0,-1.5,0.9,0.0,-2.0,1.0,60.0,0.6,-2.0,3.9,-0.06,-2.0,3.0,2.19,-5.32,0.015,-0.19,0.006,3.0,-5.0,-2.0,0.0,-2.0,-3.0,0.1,0.0,-0.86,-19.0,-3.0,-0.8,2.1,-1.2,-5.0,-2.0,0.2,-3.0,1.2,1.3,1.0,0.02,0.0,-4.0,-8.0,2.0,0.0,10.5,0.8
H-N,1.13,5.0,3.0,0.035,1.0,2.5,6.0,0.68,4.0,2.0,0.1,0.057999999999999996,5.0,1.2,2.0,0.76,4.0,1.77,1.4,68.0,3.0,2.8,8.0,1.0,13.0,1.9,-6.8,0.04,1.7,2.0,2.0,9.0,5.0,14.0,10.0,1.8,1.0,1.4,0.1,0.78,2.0,2.0,1.18,18.9,0.0,1.2,1.3,1.0,2.0,4.0,89.0,4.9,1.0,6.4,0.04,2.0,4.0,1.29,-1.65,0.043,0.32,0.040999999999999995,7.0,3.0,1.0,1.0,1.0,13.0,2.9,0.0,0.21,12.0,3.0,1.4,0.8,-0.3,5.0,0.0,4.0,1.0,7.5,5.7,3.1,0.035,5.0,1.0,-3.0,-1.0,0.3,-6.1,0.9
H-P,0.8,1.4,1.7,0.013999999999999999,-3.0,-8.0,-23.0,-1.2,3.0,-12.0,3.9,0.0,-4.0,-1.1,-1.0,-1.44,-6.0,-3.55,-0.4,77.0,2.0,1.0,-2.0,1.0,-15.0,0.7,-7.5,-0.32,-4.3,3.0,-12.0,9.0,4.0,-9.0,5.0,0.7,0.5,-0.4,2.8,0.83,2.0,0.0,1.96,11.7,0.0,-1.0,0.5,0.0,-4.0,1.0,83.0,0.2,-1.0,4.1,-0.34,-3.0,3.0,2.15,-2.94,0.006,0.05,0.011000000000000001,2.0,-7.0,-3.0,-2.0,0.0,-10.0,0.1,0.0,0.14,-18.0,-4.0,-2.1,-1.6,-1.6,-4.0,-2.0,2.2,-2.0,0.1,0.1,2.6,0.008,0.0,-4.0,-14.0,2.0,0.2,-8.2,0.3
H-Q,1.22,2.2,2.7,0.021,1.0,-0.5,4.0,0.11,4.0,2.0,2.6,0.061,4.0,1.2,3.0,-0.46,2.0,-2.24,2.4,24.0,0.0,2.4,-4.0,1.0,13.0,1.4,-7.7,0.08,1.4,2.0,2.0,9.0,6.0,4.0,11.0,3.6,2.9,3.2,0.1,0.79,1.0,3.0,0.92,21.2,0.0,1.4,3.0,2.0,2.0,4.0,93.0,3.4,1.0,6.4,0.12,0.0,4.0,0.32,-2.73,0.035,0.05,0.044000000000000004,0.0,2.0,1.0,1.0,2.0,8.0,0.7,0.0,0.37,3.0,7.0,1.4,1.8,-0.5,2.0,0.0,2.9,2.0,4.4,0.3,1.8,0.02,5.0,1.0,13.0,0.0,-0.4,-7.8,1.4
H-R,1.06,3.3,4.9,0.023,-1.0,-4.5,5.0,0.01,4.0,0.0,0.5,0.008,2.0,0.6,1.0,0.54,-4.0,0.7,1.5,29.0,3.0,2.7,0.0,1.0,11.0,1.2,-8.1,0.15,0.1,2.0,-1.0,5.0,4.0,-7.0,10.0,3.6,1.9,1.8,0.1,0.92,3.0,2.0,1.02,13.7,0.0,1.0,5.0,0.0,0.0,2.0,42.0,4.2,1.0,5.8,0.19,0.0,5.0,0.82,-2.7,0.021,0.13,0.038,2.0,0.0,0.0,0.0,2.0,2.0,0.2,0.0,0.11,3.0,5.0,1.5,1.1,-0.4,2.0,0.0,0.1,1.0,4.7,10.0,0.5,0.023,5.0,0.0,4.0,0.0,-0.1,-6.0,0.8
H-S,1.03,2.6,4.4,0.009000000000000001,-5.0,-2.5,-1.0,-1.23,3.0,-3.0,4.8,0.008,0.0,-0.2,-2.0,-0.74,-2.0,-2.38,-0.5,89.0,-1.0,1.9,-3.0,2.0,10.0,2.1,-7.0,-0.05,-2.6,2.0,-4.0,9.0,3.0,-11.0,10.0,-1.6,0.9,-0.9,1.2,0.85,2.0,-1.0,1.29,13.8,0.0,-0.3,2.3,0.0,-2.0,-4.0,78.0,0.4,0.0,5.0,-0.02,-2.0,3.0,1.94,-2.48,0.016,0.14,0.006,1.0,0.0,-1.0,-1.0,-1.0,3.0,0.1,-1.0,-0.15,-9.0,-2.0,-0.1,-0.2,-0.4,0.0,-1.0,2.2,-1.0,0.1,8.3,2.0,0.013000000000000001,9.0,-2.0,-19.0,0.0,0.3,-2.4,0.5
H-T,0.95,0.1,3.6,0.01,-6.0,-3.5,-5.0,-2.21,2.0,-5.0,0.1,0.001,0.0,-0.3,-3.0,-0.52,-4.0,-1.14,-1.1,47.0,3.0,0.5,-7.0,2.0,5.0,0.1,-8.0,0.1,-3.0,3.0,-5.0,10.0,4.0,-19.0,10.0,-1.8,1.1,-1.7,1.2,0.91,0.0,-1.0,1.33,14.8,0.0,-0.5,0.1,0.0,-4.0,1.0,74.0,1.4,0.0,4.9,0.09,-2.0,4.0,1.32,-3.13,0.008,0.08,0.011000000000000001,5.0,1.0,-3.0,-2.0,-1.0,-4.0,0.1,-1.0,-0.13,-20.0,-2.0,-0.2,-0.4,-0.9,0.0,-1.0,0.1,-1.0,0.1,10.8,0.8,0.012,5.0,-3.0,-16.0,1.0,0.0,-5.7,0.5
H-V,1.01,2.4,0.7,0.009000000000000001,-6.0,-4.5,-6.0,-4.03,1.0,-9.0,0.1,0.006,-14.0,-2.0,-3.0,-0.35,-5.0,-1.63,-3.0,84.0,-1.0,0.3,-10.0,2.0,-19.0,0.0,-7.5,-0.11,-3.9,-3.0,-9.0,8.0,-4.0,-19.0,9.0,-2.1,0.6,-3.8,0.1,1.13,-2.0,-2.0,0.66,12.9,-1.0,-2.1,0.1,0.0,-8.0,-3.0,65.0,0.5,-2.0,3.2,-0.13,-2.0,2.0,2.11,-6.44,0.017,-0.18,0.015,0.0,-8.0,-5.0,-3.0,-3.0,-18.0,0.1,-1.0,-0.59,-29.0,-4.0,-2.5,0.3,-0.7,-6.0,-3.0,0.1,-3.0,0.1,2.8,0.0,0.02,0.0,-5.0,-27.0,2.0,0.1,16.1,0.2
H-W,0.92,0.0,0.6,0.0,-6.0,-1.0,-21.0,-2.46,1.0,-7.0,0.1,0.005,-17.0,-0.8,-5.0,-1.48,-3.0,-5.71,-2.7,115.0,0.0,0.4,-6.0,3.0,18.0,0.4,-9.7,-0.01,-4.0,-1.0,-3.0,5.0,3.0,-36.0,10.0,-2.1,0.1,-2.8,0.1,1.18,-1.0,-3.0,0.78,0.0,-1.0,-1.0,0.9,1.0,-6.0,0.0,69.0,0.0,0.0,4.4,-0.02,-3.0,3.0,3.16,-5.59,0.009000000000000001,-0.11,0.001,2.0,7.0,-4.0,-3.0,-3.0,7.0,0.1,0.0,-0.7,-18.0,-1.0,-1.2,-0.6,-1.7,-9.0,0.0,0.9,-1.0,0.1,0.1,0.0,0.013999999999999999,5.0,-4.0,-41.0,2.0,-0.3,9.8,0.6
H-Y,0.81,4.4,1.6,0.008,-3.0,2.5,5.0,0.77,3.0,3.0,0.9,0.013999999999999999,4.0,2.2,-1.0,-0.12,3.0,1.17,3.7,83.0,1.0,2.9,12.0,1.0,20.0,2.6,-6.8,0.13,-0.4,0.0,2.0,7.0,0.0,18.0,9.0,2.3,0.1,4.4,1.9,1.23,0.0,0.0,0.97,19.4,0.0,2.5,1.1,2.0,4.0,2.0,77.0,2.0,2.0,7.4,0.14,0.0,4.0,2.27,-4.71,0.037000000000000005,0.08,0.047,3.0,-1.0,3.0,2.0,4.0,21.0,3.2,0.0,0.35,20.0,6.0,2.9,4.1,-0.8,1.0,0.0,5.9,3.0,4.4,4.6,5.1,0.025,6.6,3.0,23.0,-2.0,-0.3,13.2,2.6
I-A,1.08,0.3,0.4,0.04,-4.0,0.0,-1.0,-0.31,2.0,-1.0,1.2,0.043,-6.0,-0.8,-1.0,-0.97,0.0,-1.72,-0.4,94.0,1.0,0.8,-17.0,2.0,-8.0,0.6,-7.1,-0.25,-2.2,-3.0,1.0,8.0,-6.0,-2.0,9.0,-1.8,1.1,0.1,0.1,1.11,-2.0,-1.0,0.51,17.2,0.0,-0.8,0.4,0.0,-2.0,0.0,91.0,0.6,-1.0,4.4,-0.26,-2.0,2.0,2.69,-3.54,0.028999999999999998,-0.1,0.024,1.0,-5.0,-2.0,-1.0,0.0,-7.0,0.1,0.0,-0.45,-5.0,0.0,0.3,4.1,1.7,0.0,-2.0,0.1,-1.0,0.1,0.1,0.4,0.013999999999999999,0.0,-3.0,-2.0,1.0,0.8,12.7,0.4
I-C,1.24,0.3,0.6,0.01,-5.0,-0.5,-17.0,1.3,2.0,-13.0,0.1,0.006999999999999999,5.0,-1.1,-3.0,0.13,-3.0,-0.13,-2.4,198.0,-4.0,0.4,12.0,2.0,-29.0,0.6,-9.0,-0.15,-7.7,4.0,-13.0,9.0,2.0,-26.0,8.0,-1.9,0.1,-3.6,0.1,0.96,4.0,-2.0,0.43,20.9,0.0,-1.2,0.4,0.0,-4.0,1.0,93.0,0.3,0.0,4.1,-0.16,-4.0,1.0,1.63,0.31,0.013999999999999999,0.26,0.0,-1.0,4.0,-2.0,-3.0,-2.0,-30.0,0.1,0.0,-0.13,-6.0,-1.0,-3.2,4.8,-1.6,-3.0,-1.0,0.5,-1.0,0.1,0.5,0.4,0.016,0.0,-2.0,3.0,1.0,0.1,39.5,0.4
I-D,0.93,0.1,0.1,0.044000000000000004,-6.0,-6.5,-6.0,-5.36,1.0,-9.0,0.1,0.009000000000000001,-12.0,-3.8,-3.0,-2.77,-5.0,-6.18,-4.0,168.0,-3.0,0.1,-39.0,2.0,-22.0,0.1,-8.3,-0.28,-4.8,-12.0,-7.0,3.0,-14.0,-10.0,3.0,-2.1,0.2,-4.2,0.1,1.06,-9.0,-2.0,1.04,13.7,-1.0,-3.9,0.1,0.0,-8.0,-7.0,23.0,0.1,-4.0,1.4,-0.29,-3.0,0.0,3.98,-13.36,0.009000000000000001,-0.54,0.003,-4.0,-9.0,-5.0,-4.0,-3.0,-17.0,0.4,-4.0,-0.78,-34.0,-3.0,-2.9,-5.9,0.0,-9.0,-6.0,0.1,-6.0,0.1,0.1,0.0,0.017,0.0,-7.0,-13.0,-1.0,0.0,-15.0,0.2
I-E,0.96,0.3,0.1,0.021,-5.0,-7.0,-5.0,-6.08,1.0,-5.0,0.7,0.032,-10.0,-2.7,-3.0,-1.81,-5.0,-5.89,-3.6,134.0,-3.0,0.4,-36.0,3.0,-18.0,1.0,-8.3,-0.14,-4.8,-10.0,-3.0,3.0,-11.0,-7.0,4.0,-2.3,0.2,-4.1,0.5,1.15,-9.0,-2.0,0.74,14.9,-1.0,-2.9,0.1,0.0,-8.0,-3.0,29.0,0.4,-3.0,2.5,-0.13,-3.0,1.0,3.39,-10.38,0.008,-0.51,0.01,-4.0,-10.0,-5.0,-3.0,-3.0,-13.0,0.6,-4.0,-0.86,-33.0,-4.0,-3.1,-5.7,1.5,-8.0,-4.0,0.1,-5.0,0.1,0.1,0.4,0.013999999999999999,0.0,-6.0,-2.0,-1.0,-0.5,-13.5,0.2
I-F,0.74,1.5,2.6,0.08900000000000001,-2.0,1.5,-4.0,2.56,4.0,5.0,0.4,0.061,3.0,1.0,0.0,0.76,0.0,2.3,0.5,21.0,4.0,1.7,32.0,1.0,-10.0,1.6,-7.2,0.27,0.5,7.0,7.0,9.0,6.0,7.0,12.0,1.3,1.3,0.0,1.2,1.54,6.0,1.0,0.42,18.4,1.0,0.9,2.3,1.0,0.0,4.0,96.0,1.5,1.0,6.2,0.32,1.0,3.0,0.61,3.12,0.048,0.6,0.016,5.0,10.0,0.0,0.0,0.0,-3.0,1.5,0.0,0.45,8.0,-1.0,2.2,6.3,1.0,3.0,0.0,0.8,0.0,3.5,4.5,1.1,0.057999999999999996,0.0,-1.0,-4.0,0.0,-0.2,25.3,1.5
I-G,0.79,0.0,0.0,0.02,-9.0,-2.5,-20.0,-3.12,2.0,-18.0,1.6,0.017,-8.0,-4.5,-4.0,-2.93,-2.0,-8.58,-3.8,135.0,-1.0,0.2,-21.0,2.0,-9.0,0.4,-8.0,-0.23,-5.5,-8.0,-16.0,7.0,-10.0,-8.0,6.0,-2.5,0.5,-3.4,0.1,1.25,-7.0,-3.0,0.98,14.7,-1.0,-4.3,0.1,0.0,-8.0,-4.0,87.0,0.3,-4.0,0.7,-0.24,-5.0,1.0,3.6,-12.05,0.021,-0.22,0.011000000000000001,0.0,-5.0,-6.0,-4.0,-3.0,-11.0,0.7,-2.0,-0.58,-41.0,-2.0,-3.7,-2.5,0.0,-3.0,-6.0,0.1,-7.0,0.1,0.1,0.0,0.006,0.0,-7.0,-6.0,2.0,0.0,-12.7,0.0
I-H,0.86,0.1,0.1,0.017,-8.0,-4.0,-10.0,-3.69,1.0,-12.0,0.9,0.009000000000000001,-9.0,-2.2,-4.0,-1.76,-5.0,-4.44,-3.2,94.0,-1.0,0.1,3.0,2.0,-15.0,0.2,-8.2,0.01,-5.1,-3.0,-10.0,8.0,-4.0,-13.0,8.0,-1.8,0.1,-3.7,0.1,1.24,-3.0,-2.0,0.81,12.4,-1.0,-2.3,0.1,0.0,-8.0,-4.0,62.0,0.1,-2.0,3.0,0.0,-5.0,2.0,2.45,-6.06,0.004,-0.14,0.003,1.0,-4.0,-5.0,-3.0,-3.0,-15.0,0.1,-1.0,-0.69,-28.0,-4.0,-1.8,-1.2,-0.8,-4.0,-3.0,0.1,-4.0,0.1,0.1,0.1,0.01,0.0,-6.0,-17.0,2.0,-0.1,0.6,0.1
I-K,0.94,0.7,0.3,0.022000000000000002,-5.0,-5.5,-5.0,-5.08,2.0,-11.0,2.2,0.028999999999999998,-12.0,-2.1,-2.0,-1.81,-7.0,-4.82,-3.0,102.0,-5.0,0.4,-17.0,2.0,-13.0,1.1,-8.1,-0.17,-4.7,-12.0,-10.0,3.0,-13.0,-9.0,4.0,0.7,0.3,-3.8,0.4,1.11,-9.0,-2.0,0.91,14.2,-1.0,-2.3,0.2,0.0,-6.0,-6.0,26.0,0.5,-2.0,3.1,-0.18,-3.0,1.0,2.84,-9.26,0.017,-0.4,0.015,-4.0,-11.0,-4.0,-3.0,-3.0,-14.0,0.1,-2.0,-1.01,-31.0,-4.0,-1.5,-4.7,1.0,-7.0,-4.0,0.1,-4.0,10.8,1.1,0.3,0.015,0.0,-5.0,-1.0,1.0,-0.6,-12.6,0.4
I-L,0.99,7.6,8.3,0.105,-1.0,3.5,9.0,4.84,5.0,19.0,3.8,0.11,7.0,2.8,1.0,1.56,2.0,3.86,2.7,5.0,5.0,7.7,46.0,1.0,11.0,5.2,-5.5,0.25,2.6,8.0,19.0,10.0,8.0,16.0,10.0,1.2,7.3,2.4,7.3,1.21,7.0,2.0,0.0,21.0,0.0,2.8,8.9,3.0,4.0,7.0,98.0,6.9,3.0,8.0,0.27,2.0,5.0,0.14,6.53,0.076,0.6,0.157,3.0,13.0,2.0,2.0,2.0,13.0,7.6,1.0,0.48,28.0,1.0,3.4,9.8,2.1,7.0,2.0,7.0,3.0,2.6,5.4,6.5,0.05,0.0,2.0,0.0,-1.0,-0.3,29.5,7.7
I-M,1.01,2.0,2.2,0.077,0.0,4.0,18.0,2.88,4.0,22.0,0.1,0.096,12.0,2.5,1.0,0.99,3.0,2.94,3.1,10.0,4.0,2.0,18.0,1.0,3.0,1.6,-7.4,0.15,2.6,3.0,20.0,9.0,2.0,10.0,9.0,3.3,2.3,4.0,4.0,1.16,3.0,2.0,0.59,20.9,0.0,2.6,2.0,3.0,4.0,5.0,98.0,2.1,2.0,7.7,0.18,1.0,5.0,0.29,2.19,0.107,0.36,0.027999999999999997,1.0,17.0,2.0,2.0,3.0,8.0,1.4,2.0,0.67,12.0,1.0,2.2,7.4,0.9,10.0,1.0,2.4,2.0,1.2,2.9,3.1,0.048,0.0,2.0,3.0,1.0,1.3,22.8,2.2
I-N,0.89,0.2,0.4,0.025,-4.0,-4.0,-3.0,-4.41,2.0,-4.0,0.1,0.015,-7.0,-2.8,-2.0,-2.43,-3.0,-5.78,-2.7,149.0,-7.0,0.4,-32.0,1.0,-14.0,0.2,-7.6,-0.06,-4.7,-11.0,-3.0,7.0,-11.0,-8.0,5.0,0.9,0.3,-2.5,1.2,1.12,-9.0,-2.0,1.0,14.8,-1.0,-2.8,0.3,0.0,-6.0,-8.0,51.0,0.4,-3.0,2.4,-0.07,-3.0,1.0,3.37,-11.57,0.018000000000000002,-0.37,0.006,-4.0,-6.0,-5.0,-2.0,-2.0,-12.0,0.1,-1.0,-0.83,-32.0,-3.0,-2.4,-3.8,0.9,-8.0,-5.0,0.1,-4.0,0.1,0.5,0.2,0.018000000000000002,0.0,-6.0,0.0,2.0,0.2,-11.3,0.3
I-P,0.67,0.6,0.3,0.012,-7.0,-4.0,-28.0,-3.16,2.0,-15.0,1.3,0.018000000000000002,-7.0,-2.6,-3.0,-2.0,-4.0,-4.04,-2.3,95.0,0.0,0.3,-18.0,2.0,-9.0,0.9,-7.2,-0.53,-5.7,-9.0,-11.0,9.0,-14.0,8.0,3.0,-1.6,0.1,-2.0,0.1,1.3,-8.0,-2.0,1.18,9.35,-1.0,-2.6,0.4,0.0,-6.0,-2.0,79.0,0.2,-3.0,2.6,-0.55,-4.0,1.0,2.62,-8.48,0.006999999999999999,-0.19,0.011000000000000001,2.0,-8.0,-4.0,-2.0,-2.0,-1.0,0.1,0.0,-0.78,-30.0,-3.0,-2.4,-3.1,-0.6,-3.0,-4.0,0.5,-4.0,1.3,0.3,0.4,0.009000000000000001,0.0,-5.0,1.0,3.0,0.2,-8.9,0.2
I-Q,1.02,0.2,0.1,0.01,-7.0,-3.5,-4.0,-4.51,1.0,-4.0,0.1,0.008,-6.0,-1.9,-3.0,-1.47,-3.0,-3.26,-2.7,109.0,0.0,0.1,-20.0,3.0,-14.0,0.3,-7.9,-0.13,-7.0,-12.0,-3.0,7.0,-12.0,-7.0,6.0,-1.9,0.1,-3.8,0.2,1.1,-7.0,-2.0,0.7,15.8,-1.0,-2.0,0.1,0.0,-6.0,-3.0,55.0,0.1,-2.0,3.3,-0.15,-5.0,0.0,2.57,-8.69,0.006999999999999999,-0.43,0.009000000000000001,1.0,-4.0,-4.0,-2.0,-3.0,-13.0,0.3,0.0,-0.95,-30.0,-4.0,-0.9,-2.4,1.4,-7.0,-3.0,0.1,-4.0,0.4,0.1,0.3,0.009000000000000001,0.0,-5.0,0.0,3.0,0.5,-9.0,0.1
I-R,0.91,0.3,0.5,0.015,-5.0,-5.5,-4.0,-4.43,2.0,-6.0,0.1,0.008,-6.0,-2.4,-2.0,-1.4,-6.0,-3.93,-3.2,97.0,1.0,0.3,-25.0,2.0,-14.0,0.4,-7.7,0.05,-5.4,-10.0,-4.0,3.0,-11.0,-2.0,4.0,-1.2,0.7,-3.8,0.1,1.23,-7.0,-2.0,0.69,14.3,-1.0,-2.6,0.4,0.0,-8.0,0.0,4.0,0.3,-2.0,2.8,0.06,-3.0,1.0,2.49,-7.1,0.015,-0.29,0.011000000000000001,1.0,-3.0,-4.0,-3.0,-3.0,-9.0,0.4,-2.0,-0.82,-28.0,-3.0,-1.9,-2.9,1.4,-7.0,-3.0,0.1,-4.0,0.1,2.5,0.1,0.015,0.0,-5.0,-1.0,1.0,-0.2,-5.6,0.3
I-S,0.89,0.0,0.4,0.021,-6.0,-1.5,-11.0,-3.78,2.0,-8.0,0.1,0.013000000000000001,-5.0,-1.8,-2.0,-1.75,-2.0,-4.67,-1.4,142.0,-3.0,0.3,-17.0,1.0,-12.0,0.4,-7.2,-0.34,-4.7,-7.0,-5.0,7.0,-8.0,-10.0,8.0,-0.5,0.5,-1.2,0.1,1.24,-5.0,-1.0,0.74,14.6,-1.0,-1.8,0.7,0.0,-6.0,-4.0,84.0,0.3,-2.0,3.4,-0.37,-3.0,2.0,2.95,-11.11,0.013999999999999999,-0.27,0.008,-1.0,-4.0,-4.0,-2.0,-1.0,-13.0,0.7,-1.0,-0.68,-20.0,-1.0,-1.1,-2.2,1.6,-6.0,-4.0,0.1,-3.0,0.1,0.1,0.1,0.013999999999999999,0.0,-4.0,1.0,1.0,0.3,-6.2,0.3
I-T,0.0,2.1,1.5,0.026000000000000002,-2.0,0.5,-1.0,-1.2,3.0,-1.0,0.8,0.036000000000000004,1.0,-0.6,0.0,-0.96,-1.0,-3.03,0.3,89.0,0.0,1.6,-5.0,1.0,-7.0,1.0,-7.1,0.3,-3.2,-2.0,0.0,8.0,-4.0,-3.0,10.0,0.8,1.8,0.7,1.9,1.27,-3.0,0.0,0.79,17.5,0.0,-0.3,1.6,1.0,-2.0,0.0,88.0,1.6,0.0,4.6,0.32,-2.0,3.0,2.14,-6.99,0.033,0.0,0.039,0.0,3.0,-1.0,-1.0,1.0,-7.0,0.8,0.0,-0.59,-8.0,0.0,0.0,1.1,1.6,-3.0,-2.0,2.7,-1.0,0.1,3.9,2.2,0.023,0.0,-2.0,2.0,1.0,0.8,-4.7,0.8
I-V,0.83,11.3,15.1,0.11900000000000001,2.0,4.5,17.0,7.02,5.0,24.0,13.6,0.135,13.0,3.1,3.0,1.94,3.0,5.23,3.6,29.0,5.0,10.9,46.0,1.0,11.0,11.5,-5.7,0.67,3.9,11.0,24.0,10.0,9.0,11.0,12.0,1.0,6.3,3.9,6.9,1.42,9.0,4.0,0.45,22.2,1.0,3.2,14.4,2.0,8.0,7.0,97.0,7.3,3.0,8.3,0.72,2.0,5.0,0.85,8.16,0.11199999999999999,0.7,0.175,4.0,18.0,4.0,3.0,4.0,11.0,12.5,2.0,0.41,35.0,2.0,4.5,11.8,2.2,8.0,3.0,8.8,4.0,0.1,22.8,7.7,0.075,9.0,4.0,5.0,-1.0,-2.1,35.5,8.8
I-W,0.53,0.3,0.3,0.040999999999999995,-12.0,-1.5,-19.0,-0.79,2.0,-5.0,0.7,0.043,-25.0,-1.8,-7.0,0.25,-4.0,-0.26,-4.4,61.0,4.0,0.3,12.0,3.0,-8.0,0.7,-7.7,0.03,-3.3,4.0,1.0,8.0,4.0,-25.0,11.0,-2.2,0.2,-5.0,0.1,1.71,4.0,-5.0,0.56,10.4,0.0,-2.3,0.4,1.0,-6.0,3.0,93.0,0.0,-1.0,3.4,0.04,-2.0,3.0,1.72,1.12,0.016,0.36,0.001,2.0,-14.0,-4.0,-2.0,-4.0,-12.0,0.3,0.0,-0.23,-28.0,-3.0,-1.8,1.6,-0.7,-6.0,-1.0,0.7,-2.0,3.4,0.1,0.1,0.015,0.0,-5.0,-27.0,3.0,-0.5,21.3,0.2
